student_id,school,school_setting,school_type,classroom,teaching_method,n_student,gender,lunch,pretest
H9OAN,VVTVA,Urban,Public,A93,Experimental,30.0,Female,Qualifies for reduced/free lunch,29.0
244TH,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,74.0
S5EY9,UKPGS,Suburban,Public,9AW,Standard,25.0,Female,Does not qualify,86.0
9UOCD,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,56.0
T94QN,QOQTS,Urban,Public,3XJ,Standard,24.0,Male,Does not qualify,49.0
O5PNU,KZKKE,Rural,Public,2BR,Standard,20.0,Male,Qualifies for reduced/free lunch,48.0
NTECN,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Female,Qualifies for reduced/free lunch,44.0
YU9XI,LAYPA,Rural,Public,RA5,Experimental,17.0,Female,Does not qualify,63.0
H2WZ7,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,38.0
K5955,IDGFP,Urban,Non-public,P2A,Experimental,17.0,Male,Does not qualify,85.0
3OE0R,IDGFP,Urban,Non-public,G2L,Standard,17.0,Male,Does not qualify,76.0
SAKZI,CCAAW,Suburban,Non-public,EPS,Experimental,20.0,Female,Qualifies for reduced/free lunch,65.0
VJQL3,DNQDD,Suburban,Public,2AP,Standard,27.0,Male,Qualifies for reduced/free lunch,44.0
U0TQQ,DNQDD,Suburban,Public,2AP,Standard,27.0,Male,Qualifies for reduced/free lunch,53.0
PFAAM,GJJHK,Suburban,Public,HCB,Standard,22.0,Female,Qualifies for reduced/free lunch,48.0
KVGQU,GOOBU,Urban,Public,W8A,Experimental,26.0,Male,Qualifies for reduced/free lunch,38.0
ESWTA,GOOBU,Urban,Public,HKF,Standard,28.0,Male,Qualifies for reduced/free lunch,32.0
B6OD9,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Qualifies for reduced/free lunch,39.0
SZ7BS,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Qualifies for reduced/free lunch,60.0
L0UG9,DNQDD,Suburban,Public,ROP,Experimental,28.0,Male,Qualifies for reduced/free lunch,55.0
M5UK3,GOKXL,Rural,Public,VA6,Standard,19.0,Female,Qualifies for reduced/free lunch,44.0
NNVWK,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,74.0
UX5JT,UKPGS,Suburban,Public,08N,Standard,21.0,Male,Does not qualify,86.0
P8278,LAYPA,Rural,Public,J8J,Standard,19.0,Female,Does not qualify,56.0
87JFN,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,39.0
F41NC,QOQTS,Urban,Public,RK7,Standard,22.0,Female,Does not qualify,52.0
BEC7H,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,52.0
R8HW2,KZKKE,Rural,Public,QTU,Standard,23.0,Male,Qualifies for reduced/free lunch,30.0
HHNNN,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Does not qualify,45.0
P72JH,KZKKE,Rural,Public,O6A,Standard,22.0,Male,Qualifies for reduced/free lunch,42.0
XK2EB,VVTVA,Urban,Public,A93,Experimental,30.0,Female,Qualifies for reduced/free lunch,34.0
24PRY,LAYPA,Rural,Public,J8J,Standard,19.0,Male,Does not qualify,62.0
CZSGJ,GJJHK,Suburban,Public,X78,Standard,21.0,Female,Qualifies for reduced/free lunch,58.0
SQBOO,GOKXL,Rural,Public,ENO,Experimental,22.0,Male,Qualifies for reduced/free lunch,54.0
5HS69,CUQAM,Urban,Public,1Q1,Standard,28.0,Female,Does not qualify,58.0
2IJFL,ZOWMK,Urban,Public,QA2,Standard,30.0,Male,Qualifies for reduced/free lunch,39.0
TRDWB,IDGFP,Urban,Non-public,P2A,Experimental,17.0,Male,Does not qualify,84.0
G5DJK,KZKKE,Rural,Public,O6A,Standard,22.0,Male,Qualifies for reduced/free lunch,46.0
XIV97,QOQTS,Urban,Public,0N7,Experimental,28.0,Male,Does not qualify,46.0
A0OEB,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,41.0
VOASI,UAGPU,Suburban,Public,1SZ,Standard,22.0,Female,Does not qualify,64.0
8NGSI,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Qualifies for reduced/free lunch,65.0
S8HYS,UAGPU,Suburban,Public,62L,Standard,23.0,Female,Does not qualify,66.0
WR4NN,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,44.0
2MA9Q,VVTVA,Urban,Public,A93,Experimental,30.0,Male,Qualifies for reduced/free lunch,34.0
VT3PJ,IDGFP,Urban,Non-public,P2A,Experimental,17.0,Female,Does not qualify,87.0
TZZPN,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,65.0
MIMX1,CUQAM,Urban,Public,BFY,Standard,27.0,Female,Does not qualify,55.0
UCM5B,OJOBU,Rural,Public,XJ8,Standard,23.0,Female,Does not qualify,59.0
ATEDY,UAGPU,Suburban,Public,NWZ,Standard,21.0,Male,Does not qualify,57.0
W5895,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,35.0
NRU8N,CUQAM,Urban,Public,BFY,Standard,27.0,Female,Does not qualify,56.0
EP1OW,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Does not qualify,55.0
XGPLY,CIMBB,Urban,Non-public,EID,Standard,21.0,Female,Does not qualify,67.0
QPJGR,QOQTS,Urban,Public,X2O,Experimental,25.0,Female,Does not qualify,63.0
4FOEZ,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,45.0
FZDNX,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,77.0
U33J8,KZKKE,Rural,Public,O6A,Standard,22.0,Male,Qualifies for reduced/free lunch,37.0
T03W3,IDGFP,Urban,Non-public,G2L,Standard,17.0,Female,Does not qualify,69.0
4SU16,LAYPA,Rural,Public,RA5,Experimental,17.0,Male,Does not qualify,65.0
J8ME6,CIMBB,Urban,Non-public,EID,Standard,21.0,Female,Does not qualify,67.0
DPUY4,UUUQX,Suburban,Non-public,P8I,Standard,20.0,Male,Does not qualify,64.0
P7PFY,VKWQH,Rural,Public,GYM,Standard,20.0,Female,Does not qualify,49.0
JQPK7,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Qualifies for reduced/free lunch,37.0
M3Q4U,GOOBU,Urban,Public,W8A,Experimental,26.0,Male,Qualifies for reduced/free lunch,40.0
Y9W00,FBUMG,Rural,Non-public,197,Experimental,14.0,Female,Does not qualify,62.0
B8B6G,CCAAW,Suburban,Non-public,2B1,Experimental,18.0,Male,Does not qualify,65.0
BRSSH,GOOBU,Urban,Public,U6J,Standard,25.0,Male,Qualifies for reduced/free lunch,39.0
SJ05X,GJJHK,Suburban,Public,X78,Standard,21.0,Female,Qualifies for reduced/free lunch,54.0
RK9Y8,UAGPU,Suburban,Public,S98,Standard,21.0,Male,Does not qualify,71.0
32A5K,UKPGS,Suburban,Public,9AW,Standard,25.0,Male,Does not qualify,81.0
KBJ1D,VVTVA,Urban,Public,7BL,Standard,29.0,Male,Qualifies for reduced/free lunch,43.0
USMBE,GJJHK,Suburban,Public,X78,Standard,21.0,Female,Qualifies for reduced/free lunch,54.0
K0K0N,FBUMG,Rural,Non-public,JGD,Experimental,14.0,Male,Does not qualify,58.0
V1DNJ,FBUMG,Rural,Non-public,5LQ,Experimental,18.0,Male,Does not qualify,61.0
YSVSY,GOKXL,Rural,Public,ENO,Experimental,22.0,Male,Qualifies for reduced/free lunch,49.0
UKJAZ,GJJHK,Suburban,Public,ZDT,Standard,27.0,Male,Qualifies for reduced/free lunch,49.0
S5SBH,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Qualifies for reduced/free lunch,29.0
2SCI6,UAGPU,Suburban,Public,S98,Standard,21.0,Female,Does not qualify,73.0
1E2N1,VKWQH,Rural,Public,GYM,Standard,20.0,Male,Does not qualify,55.0
QPY1S,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,45.0
RTKNR,GOKXL,Rural,Public,VA6,Standard,19.0,Male,Qualifies for reduced/free lunch,39.0
SH2DM,IDGFP,Urban,Non-public,P2A,Experimental,17.0,Male,Does not qualify,88.0
PTA70,LAYPA,Rural,Public,RA5,Experimental,17.0,Female,Does not qualify,64.0
2UUOQ,KFZMY,Urban,Non-public,21Q,Standard,25.0,Female,Does not qualify,44.0
6K4DK,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Does not qualify,63.0
3X09W,VKWQH,Rural,Public,IEM,Experimental,22.0,Female,Does not qualify,43.0
Z2T0F,GOKXL,Rural,Public,VA6,Standard,19.0,Male,Qualifies for reduced/free lunch,36.0
QFCSU,QOQTS,Urban,Public,XZ4,Standard,22.0,Male,Does not qualify,58.0
7Y0SC,VKWQH,Rural,Public,IEM,Experimental,22.0,Male,Does not qualify,43.0
RT30S,GJJHK,Suburban,Public,YUC,Standard,21.0,Male,Qualifies for reduced/free lunch,40.0
M7XQV,DNQDD,Suburban,Public,ST7,Standard,20.0,Female,Does not qualify,60.0
IXYC5,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Qualifies for reduced/free lunch,57.0
W6QBL,UKPGS,Suburban,Public,KXB,Experimental,18.0,Female,Does not qualify,67.0
BZZOL,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,48.0
HA8N7,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,54.0
K6069,GOOBU,Urban,Public,U6J,Standard,25.0,Male,Qualifies for reduced/free lunch,35.0
LLQI3,ANKYI,Urban,Non-public,ZNS,Standard,21.0,Female,Does not qualify,59.0
8B9F4,VVTVA,Urban,Public,YTB,Experimental,30.0,Female,Qualifies for reduced/free lunch,32.0
RACAL,GOOBU,Urban,Public,U6J,Standard,25.0,Female,Qualifies for reduced/free lunch,36.0
Y2Z8M,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Does not qualify,61.0
ND7EU,GJJHK,Suburban,Public,ZDT,Standard,27.0,Female,Does not qualify,60.0
XQ69V,LAYPA,Rural,Public,RA5,Experimental,17.0,Female,Does not qualify,62.0
71EC6,VKWQH,Rural,Public,D33,Standard,21.0,Male,Does not qualify,58.0
YDR1Z,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Qualifies for reduced/free lunch,45.0
JDLDM,VVTVA,Urban,Public,A93,Experimental,30.0,Female,Qualifies for reduced/free lunch,30.0
C3HZR,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Female,Does not qualify,69.0
N1C5K,UAGPU,Suburban,Public,NWZ,Standard,21.0,Male,Does not qualify,62.0
ZJ61P,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Qualifies for reduced/free lunch,54.0
AYOIP,CUQAM,Urban,Public,OMI,Standard,28.0,Female,Does not qualify,51.0
QZPO5,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,73.0
R859E,KZKKE,Rural,Public,2BR,Standard,20.0,Male,Qualifies for reduced/free lunch,50.0
B8EP0,CIMBB,Urban,Non-public,HUJ,Experimental,17.0,Female,Does not qualify,62.0
VLKJU,CCAAW,Suburban,Non-public,IQN,Experimental,15.0,Male,Does not qualify,66.0
6THJV,GOKXL,Rural,Public,TSA,Experimental,23.0,Male,Does not qualify,58.0
SVLAT,DNQDD,Suburban,Public,XXJ,Standard,27.0,Female,Does not qualify,62.0
JQC0G,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Qualifies for reduced/free lunch,34.0
RAAGQ,QOQTS,Urban,Public,RK7,Standard,22.0,Female,Does not qualify,54.0
7QNXG,CCAAW,Suburban,Non-public,EPS,Experimental,20.0,Female,Qualifies for reduced/free lunch,70.0
KPR1P,ZOWMK,Urban,Public,ZBH,Standard,30.0,Male,Qualifies for reduced/free lunch,40.0
8MR97,UUUQX,Suburban,Non-public,H7S,Experimental,16.0,Male,Does not qualify,77.0
QLAXV,CUQAM,Urban,Public,X6Z,Experimental,24.0,Male,Does not qualify,52.0
WTS1I,IDGFP,Urban,Non-public,05H,Standard,22.0,Female,Does not qualify,74.0
JP1PK,VKWQH,Rural,Public,IEM,Experimental,22.0,Female,Does not qualify,43.0
NFXF0,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,42.0
T8LSK,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Does not qualify,39.0
NVH1O,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Male,Does not qualify,73.0
AZ8TD,IDGFP,Urban,Non-public,05H,Standard,22.0,Female,Does not qualify,73.0
1M9UM,DNQDD,Suburban,Public,PW5,Experimental,20.0,Male,Qualifies for reduced/free lunch,40.0
0ATHH,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Does not qualify,59.0
Q4Q2T,IDGFP,Urban,Non-public,98D,Experimental,21.0,Female,Does not qualify,80.0
GYLI8,GOOBU,Urban,Public,PBA,Standard,24.0,Male,Does not qualify,44.0
0WLKR,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Male,Qualifies for reduced/free lunch,25.0
CUT9U,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Male,Qualifies for reduced/free lunch,38.0
2U37U,CCAAW,Suburban,Non-public,EPS,Experimental,20.0,Female,Qualifies for reduced/free lunch,63.0
TRR2F,ZOWMK,Urban,Public,CII,Standard,27.0,Female,Does not qualify,54.0
MH6W5,DNQDD,Suburban,Public,2AP,Standard,27.0,Female,Does not qualify,53.0
I5H37,FBUMG,Rural,Non-public,5LQ,Experimental,18.0,Male,Qualifies for reduced/free lunch,65.0
CBSY2,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,43.0
3UFPK,UKPGS,Suburban,Public,PGH,Experimental,23.0,Female,Does not qualify,70.0
R4LBA,UUUQX,Suburban,Non-public,H7S,Experimental,16.0,Female,Does not qualify,71.0
N42JI,UAGPU,Suburban,Public,62L,Standard,23.0,Male,Does not qualify,62.0
V1D5F,KZKKE,Rural,Public,O6A,Standard,22.0,Male,Qualifies for reduced/free lunch,45.0
FFCHO,GOOBU,Urban,Public,W8A,Experimental,26.0,Male,Qualifies for reduced/free lunch,42.0
5UKAH,KZKKE,Rural,Public,2BR,Standard,20.0,Female,Qualifies for reduced/free lunch,43.0
QZI3R,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Qualifies for reduced/free lunch,62.0
I1E36,CUQAM,Urban,Public,OMI,Standard,28.0,Male,Does not qualify,57.0
K3IZ6,CUQAM,Urban,Public,X6Z,Experimental,24.0,Male,Does not qualify,54.0
71A2K,GJJHK,Suburban,Public,NOR,Experimental,27.0,Female,Qualifies for reduced/free lunch,65.0
UPA8M,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,53.0
EIV0N,GOOBU,Urban,Public,U6J,Standard,25.0,Female,Qualifies for reduced/free lunch,37.0
TQDZV,VKWQH,Rural,Public,D33,Standard,21.0,Male,Does not qualify,67.0
SMXWL,VKWQH,Rural,Public,GYM,Standard,20.0,Female,Does not qualify,46.0
HEOZU,DNQDD,Suburban,Public,XXJ,Standard,27.0,Female,Qualifies for reduced/free lunch,62.0
70S7T,DNQDD,Suburban,Public,ST7,Standard,20.0,Female,Does not qualify,63.0
KZPFA,OJOBU,Rural,Public,XJ8,Standard,23.0,Female,Does not qualify,57.0
B8ZPI,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Qualifies for reduced/free lunch,60.0
H0FE9,ZMNYA,Suburban,Public,V77,Experimental,23.0,Female,Does not qualify,79.0
2G98P,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Does not qualify,35.0
NHYYZ,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Does not qualify,62.0
97YOT,VHDHF,Rural,Non-public,KR1,Experimental,15.0,Female,Qualifies for reduced/free lunch,58.0
96R50,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,60.0
3G0AI,QOQTS,Urban,Public,X2O,Experimental,25.0,Male,Qualifies for reduced/free lunch,62.0
7ZTHI,GJJHK,Suburban,Public,ZDT,Standard,27.0,Female,Qualifies for reduced/free lunch,57.0
B15UA,ZMNYA,Suburban,Public,V77,Experimental,23.0,Male,Does not qualify,69.0
FXW0B,GOOBU,Urban,Public,U6J,Standard,25.0,Male,Qualifies for reduced/free lunch,44.0
H2AGT,VKWQH,Rural,Public,D33,Standard,21.0,Male,Qualifies for reduced/free lunch,59.0
YDXV0,UKPGS,Suburban,Public,XXE,Standard,22.0,Female,Does not qualify,78.0
0ZAWS,CCAAW,Suburban,Non-public,IQN,Experimental,15.0,Female,Does not qualify,65.0
RB07N,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Male,Does not qualify,66.0
Q7ZIU,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Female,Does not qualify,69.0
3ZUP5,OJOBU,Rural,Public,FS3,Standard,19.0,Male,Does not qualify,60.0
V7B7N,KFZMY,Urban,Non-public,21Q,Standard,25.0,Female,Qualifies for reduced/free lunch,42.0
X4NP9,CCAAW,Suburban,Non-public,2B1,Experimental,18.0,Female,Does not qualify,67.0
SE4E4,UAGPU,Suburban,Public,62L,Standard,23.0,Female,Does not qualify,64.0
MGJ90,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Qualifies for reduced/free lunch,52.0
W6LZR,UAGPU,Suburban,Public,62L,Standard,23.0,Female,Does not qualify,62.0
6RFGN,DNQDD,Suburban,Public,PW5,Experimental,20.0,Male,Qualifies for reduced/free lunch,44.0
GXAG3,VKWQH,Rural,Public,341,Standard,18.0,Female,Does not qualify,50.0
9UN3Z,GOOBU,Urban,Public,W8A,Experimental,26.0,Male,Qualifies for reduced/free lunch,36.0
T7W1C,ZMNYA,Suburban,Public,4NN,Standard,22.0,Male,Qualifies for reduced/free lunch,59.0
JM8WM,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,36.0
5F3AB,QOQTS,Urban,Public,SUR,Standard,28.0,Female,Does not qualify,51.0
RFKQ2,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Male,Does not qualify,51.0
XGJ6Y,CIMBB,Urban,Non-public,A33,Standard,19.0,Female,Does not qualify,56.0
4KPNR,ZMNYA,Suburban,Public,4NN,Standard,22.0,Female,Does not qualify,74.0
OGKP3,FBUMG,Rural,Non-public,5LQ,Experimental,18.0,Male,Does not qualify,72.0
6I95C,OJOBU,Rural,Public,FS3,Standard,19.0,Male,Does not qualify,64.0
6O11H,UAGPU,Suburban,Public,S98,Standard,21.0,Male,Does not qualify,70.0
J4404,GOOBU,Urban,Public,U6J,Standard,25.0,Female,Qualifies for reduced/free lunch,35.0
0CSKF,VVTVA,Urban,Public,A93,Experimental,30.0,Male,Qualifies for reduced/free lunch,31.0
KFQEB,VKWQH,Rural,Public,IEM,Experimental,22.0,Male,Does not qualify,43.0
1M0HM,KZKKE,Rural,Public,2BR,Standard,20.0,Male,Qualifies for reduced/free lunch,48.0
VKH07,GJJHK,Suburban,Public,ZDT,Standard,27.0,Male,Qualifies for reduced/free lunch,55.0
PA8XJ,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,53.0
8PV7H,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Qualifies for reduced/free lunch,43.0
6OB0S,CCAAW,Suburban,Non-public,2B1,Experimental,18.0,Male,Qualifies for reduced/free lunch,58.0
HQTXY,VKWQH,Rural,Public,341,Standard,18.0,Male,Does not qualify,39.0
CG4PV,UAGPU,Suburban,Public,S98,Standard,21.0,Female,Does not qualify,64.0
E178W,DNQDD,Suburban,Public,2AP,Standard,27.0,Male,Does not qualify,56.0
1RM48,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Qualifies for reduced/free lunch,43.0
RTGSE,GOKXL,Rural,Public,ENO,Experimental,22.0,Female,Qualifies for reduced/free lunch,52.0
NYDID,QOQTS,Urban,Public,XZ4,Standard,22.0,Female,Does not qualify,63.0
07R5Z,FBUMG,Rural,Non-public,JGD,Experimental,14.0,Male,Does not qualify,57.0
H2NHU,UKPGS,Suburban,Public,9AW,Standard,25.0,Female,Does not qualify,85.0
I0YK4,QOQTS,Urban,Public,X2O,Experimental,25.0,Male,Does not qualify,59.0
XCWK3,VKWQH,Rural,Public,IEM,Experimental,22.0,Male,Does not qualify,38.0
9JGL2,IDGFP,Urban,Non-public,P2A,Experimental,17.0,Female,Does not qualify,84.0
KUSRN,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Male,Qualifies for reduced/free lunch,41.0
JOWGS,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,34.0
S7G9W,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Qualifies for reduced/free lunch,53.0
JGOV7,CUQAM,Urban,Public,X6Z,Experimental,24.0,Male,Does not qualify,52.0
RX0B1,GJJHK,Suburban,Public,HCB,Standard,22.0,Female,Qualifies for reduced/free lunch,45.0
SA51C,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,77.0
4Q2NT,KFZMY,Urban,Non-public,21Q,Standard,25.0,Female,Qualifies for reduced/free lunch,41.0
X7NOM,UAGPU,Suburban,Public,S98,Standard,21.0,Male,Does not qualify,68.0
U46W3,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,43.0
KPTGF,VKWQH,Rural,Public,IEM,Experimental,22.0,Male,Does not qualify,44.0
5F5S6,KZKKE,Rural,Public,2BR,Standard,20.0,Male,Qualifies for reduced/free lunch,45.0
ITHSP,GOOBU,Urban,Public,CXC,Standard,24.0,Male,Qualifies for reduced/free lunch,36.0
04AKE,KZKKE,Rural,Public,O6A,Standard,22.0,Male,Qualifies for reduced/free lunch,48.0
ZOAK4,OJOBU,Rural,Public,5SZ,Experimental,17.0,Female,Does not qualify,63.0
18YOG,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Male,Qualifies for reduced/free lunch,74.0
9V75V,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,56.0
I4BNO,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Female,Qualifies for reduced/free lunch,68.0
R79FQ,VVTVA,Urban,Public,TB5,Standard,25.0,Female,Qualifies for reduced/free lunch,40.0
MP2DL,DNQDD,Suburban,Public,PW5,Experimental,20.0,Female,Does not qualify,48.0
15087,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,61.0
T7HV4,GOOBU,Urban,Public,HKF,Standard,28.0,Male,Qualifies for reduced/free lunch,27.0
9TCBM,QOQTS,Urban,Public,3XJ,Standard,24.0,Female,Does not qualify,54.0
JQ4OT,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,44.0
U355K,QOQTS,Urban,Public,SUR,Standard,28.0,Female,Does not qualify,51.0
MDLIT,UKPGS,Suburban,Public,9AW,Standard,25.0,Male,Does not qualify,82.0
81HQ5,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,79.0
S8BUS,QOQTS,Urban,Public,XZ4,Standard,22.0,Male,Does not qualify,59.0
BZG6L,VVTVA,Urban,Public,7BL,Standard,29.0,Male,Qualifies for reduced/free lunch,38.0
XVQ6F,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,41.0
9DKQ9,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,39.0
VLB5M,LAYPA,Rural,Public,AJ1,Standard,21.0,Female,Does not qualify,63.0
79WZ1,GJJHK,Suburban,Public,ZDT,Standard,27.0,Male,Qualifies for reduced/free lunch,52.0
B4HL9,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Male,Does not qualify,66.0
2E8OY,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Does not qualify,44.0
F25BI,GJJHK,Suburban,Public,HCB,Standard,22.0,Male,Qualifies for reduced/free lunch,48.0
5SPC0,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Female,Does not qualify,65.0
GS9HH,CIMBB,Urban,Non-public,PC6,Standard,17.0,Male,Does not qualify,68.0
M0WG3,VVTVA,Urban,Public,YTB,Experimental,30.0,Male,Qualifies for reduced/free lunch,34.0
MN04N,UUUQX,Suburban,Non-public,6C1,Standard,16.0,Male,Does not qualify,67.0
9NRJU,KFZMY,Urban,Non-public,21Q,Standard,25.0,Female,Does not qualify,41.0
46P8Y,ZMNYA,Suburban,Public,4NN,Standard,22.0,Female,Does not qualify,65.0
GPNQZ,QOQTS,Urban,Public,0N7,Experimental,28.0,Female,Does not qualify,48.0
4EPVT,GJJHK,Suburban,Public,X78,Standard,21.0,Male,Qualifies for reduced/free lunch,59.0
KI2M3,GOKXL,Rural,Public,ENO,Experimental,22.0,Male,Qualifies for reduced/free lunch,51.0
OQBYX,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,47.0
BQ8E0,CIMBB,Urban,Non-public,HUJ,Experimental,17.0,Female,Does not qualify,68.0
8TW6G,CIMBB,Urban,Non-public,HUJ,Experimental,17.0,Male,Does not qualify,56.0
BU6TQ,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,82.0
X42WM,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,36.0
NTU46,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Female,Does not qualify,67.0
IRVYC,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,49.0
I2MTP,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Does not qualify,60.0
0VPKP,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,32.0
C1PHS,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,36.0
VKIEK,LAYPA,Rural,Public,AJ1,Standard,21.0,Female,Does not qualify,66.0
0VLI0,QOQTS,Urban,Public,RK7,Standard,22.0,Male,Does not qualify,49.0
CE3B7,VKWQH,Rural,Public,GYM,Standard,20.0,Male,Does not qualify,49.0
OJM71,UAGPU,Suburban,Public,NWZ,Standard,21.0,Female,Does not qualify,63.0
BIN4L,OJOBU,Rural,Public,6U9,Standard,22.0,Female,Does not qualify,50.0
WKFXN,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Does not qualify,54.0
7X0DK,GOOBU,Urban,Public,CXC,Standard,24.0,Male,Does not qualify,33.0
U6V9N,CUQAM,Urban,Public,BFY,Standard,27.0,Female,Qualifies for reduced/free lunch,46.0
18OHA,VKWQH,Rural,Public,DFQ,Experimental,19.0,Female,Does not qualify,61.0
STM05,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,39.0
5I0TO,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Does not qualify,61.0
F4XMK,ZOWMK,Urban,Public,ZBH,Standard,30.0,Male,Qualifies for reduced/free lunch,42.0
H8BK5,ZOWMK,Urban,Public,CII,Standard,27.0,Male,Qualifies for reduced/free lunch,43.0
F99D8,DNQDD,Suburban,Public,ST7,Standard,20.0,Male,Qualifies for reduced/free lunch,57.0
U1ACT,VVTVA,Urban,Public,A93,Experimental,30.0,Female,Qualifies for reduced/free lunch,32.0
8K2VR,DNQDD,Suburban,Public,ST7,Standard,20.0,Male,Qualifies for reduced/free lunch,49.0
HDPCP,FBUMG,Rural,Non-public,197,Experimental,14.0,Female,Does not qualify,64.0
81JIV,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,46.0
JZYO3,DNQDD,Suburban,Public,XXJ,Standard,27.0,Female,Qualifies for reduced/free lunch,58.0
